label,ranks,dims_x,dims_y,mode,kernel,global_w,global_h,steps,trial,t_total,t_halo,t_kernel,t_io
strong_4,4,2,2,gpu,overlap,24576,24576,1000,1,1.576894,1.547010,0.029842,0.000000
strong_2,2,2,1,gpu,overlap,24576,24576,1000,1,2.823751,2.778482,0.045228,0.000000
strong_4,4,2,2,gpu,overlap,24576,24576,1000,2,1.528165,1.498212,0.029905,0.000000
strong_1,1,1,1,gpu,overlap,24576,24576,1000,1,5.246170,5.204142,0.041985,0.000000
strong_4,4,2,2,gpu,overlap,24576,24576,1000,3,1.503377,1.473329,0.030006,0.000000
strong_2,2,2,1,gpu,overlap,24576,24576,1000,2,2.788365,2.743567,0.044755,0.000000
strong_2,2,2,1,gpu,overlap,24576,24576,1000,3,2.760826,2.715696,0.045088,0.000000
strong_1,1,1,1,gpu,overlap,24576,24576,1000,2,5.241083,5.198543,0.042496,0.000000
strong_1,1,1,1,gpu,overlap,24576,24576,1000,3,5.228445,5.185741,0.042662,0.000000
strong_6,6,3,2,gpu,overlap,24576,24576,1000,1,1.103342,1.073985,0.029308,0.000000
weak_1,1,1,1,gpu,overlap,8192,8192,1000,1,0.651176,0.625758,0.025376,0.000000
weak_4,4,2,2,gpu,overlap,16384,16384,1000,1,0.808321,0.782201,0.026076,0.000000
gpu_4,4,2,2,gpu,overlap,8192,8192,500,1,0.245687,0.232668,0.012996,0.000000
gpu_1,1,1,1,gpu,overlap,8192,8192,500,1,0.328454,0.315882,0.012552,0.000000
weak_1,1,1,1,gpu,overlap,8192,8192,1000,2,0.629733,0.604527,0.025164,0.000000
gpu_1,1,1,1,gpu,overlap,8192,8192,500,2,0.310540,0.298276,0.012243,0.000000
gpu_4,4,2,2,gpu,overlap,8192,8192,500,2,0.257599,0.244450,0.013126,0.000000
weak_4,4,2,2,gpu,overlap,16384,16384,1000,2,0.809996,0.784094,0.025858,0.000000
strong_6,6,3,2,gpu,overlap,24576,24576,1000,2,1.084700,1.056276,0.028380,0.000000
weak_1,1,1,1,gpu,overlap,8192,8192,1000,3,0.629037,0.603794,0.025202,0.000000
gpu_4,4,2,2,gpu,overlap,8192,8192,500,3,0.209873,0.196339,0.013511,0.000000
gpu_1,1,1,1,gpu,overlap,8192,8192,500,3,0.310195,0.297857,0.012318,0.000000
strong_24,24,6,4,gpu,overlap,24576,24576,1000,1,0.617837,0.590287,0.027504,0.000000
weak_4,4,2,2,gpu,overlap,16384,16384,1000,3,0.791139,0.765006,0.026088,0.000000
strong_6,6,3,2,gpu,overlap,24576,24576,1000,3,1.113073,1.084118,0.028910,0.000000
weak_16,16,4,4,gpu,overlap,32768,32768,1000,1,0.893311,0.866430,0.026837,0.000000
strong_24,24,6,4,gpu,overlap,24576,24576,1000,2,0.572417,0.544558,0.027814,0.000000
