label,ranks,dims_x,dims_y,mode,kernel,global_w,global_h,steps,trial,t_total,t_halo,t_kernel,t_io,synthetic
strong_1,1,1,1,gpu,overlap,32768,32768,1000,1,4.182376,0.027646,4.061699,0.000000,1
strong_1,1,1,1,gpu,overlap,32768,32768,1000,2,4.214488,0.029144,4.265908,0.000000,1
strong_1,1,1,1,gpu,overlap,32768,32768,1000,3,4.110404,0.027657,4.043039,0.000000,1
strong_2,2,1,2,gpu,overlap,32768,32768,1000,1,1.989833,0.025914,2.092867,0.000000,1
strong_2,2,1,2,gpu,overlap,32768,32768,1000,2,2.021916,0.026743,2.119264,0.000000,1
strong_2,2,1,2,gpu,overlap,32768,32768,1000,3,2.118769,0.026975,2.041640,0.000000,1
strong_4,4,2,2,gpu,overlap,32768,32768,1000,1,1.071960,0.024051,1.000346,0.000000,1
strong_4,4,2,2,gpu,overlap,32768,32768,1000,2,1.062883,0.024571,1.059441,0.000000,1
strong_4,4,2,2,gpu,overlap,32768,32768,1000,3,1.037132,0.025291,1.023987,0.000000,1
strong_6,6,2,3,gpu,overlap,32768,32768,1000,1,0.707582,0.023865,0.709261,0.000000,1
strong_6,6,2,3,gpu,overlap,32768,32768,1000,2,0.700697,0.022782,0.674309,0.000000,1
strong_6,6,2,3,gpu,overlap,32768,32768,1000,3,0.666239,0.023135,0.667312,0.000000,1
strong_12,12,3,4,gpu,overlap,32768,32768,1000,1,0.348500,0.027347,0.341078,0.000000,1
strong_12,12,3,4,gpu,overlap,32768,32768,1000,2,0.338330,0.028611,0.348739,0.000000,1
strong_12,12,3,4,gpu,overlap,32768,32768,1000,3,0.335687,0.028152,0.335376,0.000000,1
strong_24,24,4,6,gpu,overlap,32768,32768,1000,1,0.179181,0.025746,0.173114,0.000000,1
strong_24,24,4,6,gpu,overlap,32768,32768,1000,2,0.177158,0.026023,0.168593,0.000000,1
strong_24,24,4,6,gpu,overlap,32768,32768,1000,3,0.169883,0.024988,0.168344,0.000000,1
strong_48,48,6,8,gpu,overlap,32768,32768,1000,1,0.088862,0.023470,0.087236,0.000000,1
strong_48,48,6,8,gpu,overlap,32768,32768,1000,2,0.089125,0.023744,0.084544,0.000000,1
strong_48,48,6,8,gpu,overlap,32768,32768,1000,3,0.086688,0.023371,0.086747,0.000000,1
weak_1,1,1,1,gpu,overlap,8192,8192,1000,1,0.256527,0.021686,0.268798,0.000000,1
weak_1,1,1,1,gpu,overlap,8192,8192,1000,2,0.250145,0.021381,0.250436,0.000000,1
weak_1,1,1,1,gpu,overlap,8192,8192,1000,3,0.264651,0.022046,0.249482,0.000000,1
weak_4,4,2,2,gpu,overlap,16384,16384,1000,1,0.268873,0.022236,0.268251,0.000000,1
weak_4,4,2,2,gpu,overlap,16384,16384,1000,2,0.248502,0.022576,0.262267,0.000000,1
weak_4,4,2,2,gpu,overlap,16384,16384,1000,3,0.253785,0.022435,0.250475,0.000000,1
weak_16,16,4,4,gpu,overlap,32768,32768,1000,1,0.257651,0.027518,0.266282,0.000000,1
weak_16,16,4,4,gpu,overlap,32768,32768,1000,2,0.258621,0.025871,0.267042,0.000000,1
weak_16,16,4,4,gpu,overlap,32768,32768,1000,3,0.254439,0.026849,0.260762,0.000000,1
cpu_1,1,1,1,cpu,naive,8192,8192,500,1,9.354717,0.011127,9.355190,0.000000,1
cpu_1,1,1,1,cpu,naive,8192,8192,500,2,8.796228,0.010936,8.799419,0.000000,1
cpu_1,1,1,1,cpu,naive,8192,8192,500,3,9.439898,0.011387,9.010290,0.000000,1
gpu_1,1,1,1,gpu,overlap,8192,8192,500,1,0.157235,0.011489,0.147464,0.000000,1
gpu_1,1,1,1,gpu,overlap,8192,8192,500,2,0.147360,0.011324,0.155764,0.000000,1
gpu_1,1,1,1,gpu,overlap,8192,8192,500,3,0.152318,0.011136,0.149653,0.000000,1
cpu_4,4,2,2,cpu,naive,8192,8192,500,1,2.284216,0.010303,2.294994,0.000000,1
cpu_4,4,2,2,cpu,naive,8192,8192,500,2,2.243400,0.010387,2.378426,0.000000,1
cpu_4,4,2,2,cpu,naive,8192,8192,500,3,2.286967,0.010561,2.218437,0.000000,1
gpu_4,4,2,2,gpu,overlap,8192,8192,500,1,0.037735,0.010621,0.037307,0.000000,1
gpu_4,4,2,2,gpu,overlap,8192,8192,500,2,0.036918,0.010657,0.037303,0.000000,1
gpu_4,4,2,2,gpu,overlap,8192,8192,500,3,0.039330,0.010184,0.037331,0.000000,1
cpu_16,16,4,4,cpu,naive,8192,8192,500,1,0.569447,0.010501,0.591878,0.000000,1
cpu_16,16,4,4,cpu,naive,8192,8192,500,2,0.581496,0.011066,0.586020,0.000000,1
cpu_16,16,4,4,cpu,naive,8192,8192,500,3,0.563978,0.010760,0.568454,0.000000,1
gpu_16,16,4,4,gpu,overlap,8192,8192,500,1,0.011119,0.010969,0.009902,0.000000,1
gpu_16,16,4,4,gpu,overlap,8192,8192,500,2,0.010834,0.010680,0.009808,0.000000,1
gpu_16,16,4,4,gpu,overlap,8192,8192,500,3,0.010649,0.010775,0.009473,0.000000,1
breakdown_naive,16,4,4,gpu,naive,32768,32768,1000,1,0.324957,0.027453,0.303652,0.000000,1
breakdown_naive,16,4,4,gpu,naive,32768,32768,1000,2,0.332929,0.025599,0.317224,0.000000,1
breakdown_naive,16,4,4,gpu,naive,32768,32768,1000,3,0.344035,0.027459,0.313550,0.000000,1
breakdown_shared,16,4,4,gpu,shared,32768,32768,1000,1,0.284735,0.025946,0.256462,0.000000,1
breakdown_shared,16,4,4,gpu,shared,32768,32768,1000,2,0.282302,0.027585,0.253653,0.000000,1
breakdown_shared,16,4,4,gpu,shared,32768,32768,1000,3,0.284036,0.026390,0.267966,0.000000,1
breakdown_overlap,16,4,4,gpu,overlap,32768,32768,1000,1,0.259762,0.027018,0.251370,0.000000,1
breakdown_overlap,16,4,4,gpu,overlap,32768,32768,1000,2,0.268306,0.026722,0.259381,0.000000,1
breakdown_overlap,16,4,4,gpu,overlap,32768,32768,1000,3,0.249447,0.026732,0.258568,0.000000,1
ksweep_naive_256,1,1,1,gpu,naive,256,256,500,1,0.000145,0.000000,0.000144,0.000000,1
ksweep_naive_256,1,1,1,gpu,naive,256,256,500,2,0.000150,0.000000,0.000146,0.000000,1
